item_id,cat_id,dept_id,store_id,state_id,date,sell_price,forecast_sales,Recommendation
HOUSEHOLD_2_255,HOUSEHOLD,HOUSEHOLD_2,CA_1,CA,2016-05-22,9.97,0.453138472483656,Reduce Stock
HOUSEHOLD_1_277,HOUSEHOLD,HOUSEHOLD_1,CA_1,CA,2016-05-22,0.97,0.1404564863534312,Reduce Stock
FOODS_3_179,FOODS,FOODS_3,CA_1,CA,2016-05-22,4.98,1.2533113551132076,Reduce Stock
HOUSEHOLD_2_242,HOUSEHOLD,HOUSEHOLD_2,CA_1,CA,2016-05-22,12.97,0.1315934469350745,Reduce Stock
HOUSEHOLD_2_008,HOUSEHOLD,HOUSEHOLD_2,CA_1,CA,2016-05-22,2.46,0.5551204853666232,Reduce Stock
FOODS_2_046,FOODS,FOODS_2,CA_1,CA,2016-05-22,3.94,0.6201457133083557,Reduce Stock
FOODS_2_034,FOODS,FOODS_2,CA_1,CA,2016-05-22,2.5,0.9410101318499986,Reduce Stock
HOBBIES_1_273,HOBBIES,HOBBIES_1,CA_1,CA,2016-05-22,12.68,0.4703216741563524,Reduce Stock
HOBBIES_2_085,HOBBIES,HOBBIES_2,CA_1,CA,2016-05-22,0.97,0.5000365055297202,Reduce Stock
FOODS_3_149,FOODS,FOODS_3,CA_1,CA,2016-05-22,2.5,0.8431831247872064,Reduce Stock
FOODS_3_163,FOODS,FOODS_3,CA_1,CA,2016-05-22,2.24,5.399864588131221,Increase Stock
HOUSEHOLD_1_260,HOUSEHOLD,HOUSEHOLD_1,CA_1,CA,2016-05-22,2.97,0.1315934469350745,Reduce Stock
FOODS_2_058,FOODS,FOODS_2,CA_1,CA,2016-05-22,4.97,0.2966770996211011,Reduce Stock
HOUSEHOLD_1_291,HOUSEHOLD,HOUSEHOLD_1,CA_1,CA,2016-05-22,3.72,2.482361827517089,Maintain Stock
FOODS_3_422,FOODS,FOODS_3,CA_1,CA,2016-05-22,1.98,1.5418771195012069,Reduce Stock
HOBBIES_1_056,HOBBIES,HOBBIES_1,CA_1,CA,2016-05-22,0.94,1.037933833031264,Reduce Stock
FOODS_2_292,FOODS,FOODS_2,CA_1,CA,2016-05-22,3.28,0.2966770996211011,Reduce Stock
HOUSEHOLD_1_183,HOUSEHOLD,HOUSEHOLD_1,CA_1,CA,2016-05-22,4.88,0.5173137620525734,Reduce Stock
FOODS_3_498,FOODS,FOODS_3,CA_1,CA,2016-05-22,0.25,3.3792390651762023,Maintain Stock
HOUSEHOLD_2_396,HOUSEHOLD,HOUSEHOLD_2,CA_1,CA,2016-05-22,8.44,0.2966688498697394,Reduce Stock
FOODS_3_140,FOODS,FOODS_3,CA_1,CA,2016-05-22,3.0,2.397531892315944,Maintain Stock
HOBBIES_1_123,HOBBIES,HOBBIES_1,CA_1,CA,2016-05-22,6.97,0.8223863147645829,Reduce Stock
HOUSEHOLD_1_399,HOUSEHOLD,HOUSEHOLD_1,CA_1,CA,2016-05-22,0.97,12.330511282190866,Increase Stock
HOUSEHOLD_2_266,HOUSEHOLD,HOUSEHOLD_2,CA_1,CA,2016-05-22,2.97,0.5472544843832774,Reduce Stock
HOUSEHOLD_2_408,HOUSEHOLD,HOUSEHOLD_2,CA_1,CA,2016-05-22,8.48,0.3880981080181241,Reduce Stock
FOODS_2_154,FOODS,FOODS_2,CA_1,CA,2016-05-22,13.97,0.2966770996211011,Reduce Stock
FOODS_3_043,FOODS,FOODS_3,CA_1,CA,2016-05-22,2.56,1.7449404677491165,Reduce Stock
HOBBIES_1_106,HOBBIES,HOBBIES_1,CA_1,CA,2016-05-22,2.57,0.3517702701642163,Reduce Stock
FOODS_2_153,FOODS,FOODS_2,CA_1,CA,2016-05-22,2.96,4.1770911216750415,Maintain Stock
HOBBIES_1_075,HOBBIES,HOBBIES_1,CA_1,CA,2016-05-22,7.0,0.5133771557997102,Reduce Stock
HOBBIES_2_059,HOBBIES,HOBBIES_2,CA_1,CA,2016-05-22,0.23,1.4415785178918408,Reduce Stock
HOUSEHOLD_1_300,HOUSEHOLD,HOUSEHOLD_1,CA_1,CA,2016-05-22,4.88,0.2966688498697394,Reduce Stock
HOUSEHOLD_2_162,HOUSEHOLD,HOUSEHOLD_2,CA_1,CA,2016-05-22,3.97,0.7874944328262052,Reduce Stock
FOODS_2_138,FOODS,FOODS_2,CA_1,CA,2016-05-22,1.84,2.7843150434709254,Maintain Stock
FOODS_2_136,FOODS,FOODS_2,CA_1,CA,2016-05-22,2.87,0.8276158231242154,Reduce Stock
HOUSEHOLD_2_146,HOUSEHOLD,HOUSEHOLD_2,CA_1,CA,2016-05-22,6.47,0.2032945782631999,Reduce Stock
FOODS_1_110,FOODS,FOODS_1,CA_1,CA,2016-05-22,1.96,7.349059257033406,Increase Stock
HOUSEHOLD_2_147,HOUSEHOLD,HOUSEHOLD_2,CA_1,CA,2016-05-22,3.97,0.1177235177701507,Reduce Stock
FOODS_1_135,FOODS,FOODS_1,CA_1,CA,2016-05-22,2.68,1.4502178147285514,Reduce Stock
HOUSEHOLD_2_164,HOUSEHOLD,HOUSEHOLD_2,CA_1,CA,2016-05-22,8.47,0.920652192387285,Reduce Stock
HOUSEHOLD_1_096,HOUSEHOLD,HOUSEHOLD_1,CA_1,CA,2016-05-22,3.97,9.924363035567236,Increase Stock
HOUSEHOLD_1_025,HOUSEHOLD,HOUSEHOLD_1,CA_1,CA,2016-05-22,2.98,0.9597862278162032,Reduce Stock
FOODS_3_524,FOODS,FOODS_3,CA_1,CA,2016-05-22,1.0,0.1265948069398691,Reduce Stock
HOUSEHOLD_1_165,HOUSEHOLD,HOUSEHOLD_1,CA_1,CA,2016-05-22,17.97,0.4939404080380287,Reduce Stock
FOODS_3_273,FOODS,FOODS_3,CA_1,CA,2016-05-22,2.24,5.3910107002778425,Increase Stock
FOODS_3_181,FOODS,FOODS_3,CA_1,CA,2016-05-22,2.98,2.7244460233571264,Maintain Stock
HOUSEHOLD_1_258,HOUSEHOLD,HOUSEHOLD_1,CA_1,CA,2016-05-22,2.97,0.2966688498697394,Reduce Stock
FOODS_3_255,FOODS,FOODS_3,CA_1,CA,2016-05-22,3.98,0.6201457133083557,Reduce Stock
HOUSEHOLD_1_494,HOUSEHOLD,HOUSEHOLD_1,CA_1,CA,2016-05-22,7.97,4.135942825318592,Maintain Stock
FOODS_1_122,FOODS,FOODS_1,CA_1,CA,2016-05-22,1.98,1.1395230050583878,Reduce Stock
FOODS_3_327,FOODS,FOODS_3,CA_1,CA,2016-05-22,3.28,2.787433609245287,Maintain Stock
FOODS_3_409,FOODS,FOODS_3,CA_1,CA,2016-05-22,2.78,1.4257002365914646,Reduce Stock
FOODS_2_033,FOODS,FOODS_2,CA_1,CA,2016-05-22,2.38,3.435309163086281,Maintain Stock
FOODS_2_347,FOODS,FOODS_2,CA_1,CA,2016-05-22,2.24,12.65224720077217,Increase Stock
HOUSEHOLD_1_110,HOUSEHOLD,HOUSEHOLD_1,CA_1,CA,2016-05-22,3.97,12.271114649565064,Increase Stock
FOODS_3_341,FOODS,FOODS_3,CA_1,CA,2016-05-22,3.98,0.6564853966598502,Reduce Stock
HOUSEHOLD_2_267,HOUSEHOLD,HOUSEHOLD_2,CA_1,CA,2016-05-22,1.93,0.7639953655899545,Reduce Stock
HOUSEHOLD_1_413,HOUSEHOLD,HOUSEHOLD_1,CA_1,CA,2016-05-22,17.97,0.6758839647305761,Reduce Stock
FOODS_1_134,FOODS,FOODS_1,CA_1,CA,2016-05-22,1.98,1.2177878642726936,Reduce Stock
HOUSEHOLD_1_259,HOUSEHOLD,HOUSEHOLD_1,CA_1,CA,2016-05-22,7.48,1.7761310248026128,Reduce Stock
FOODS_3_120,FOODS,FOODS_3,CA_1,CA,2016-05-22,4.98,55.5775147155569,Increase Stock
HOUSEHOLD_1_286,HOUSEHOLD,HOUSEHOLD_1,CA_1,CA,2016-05-22,4.93,0.5914430568937978,Reduce Stock
HOBBIES_1_227,HOBBIES,HOBBIES_1,CA_1,CA,2016-05-22,1.97,0.6123409900300242,Reduce Stock
HOUSEHOLD_1_320,HOUSEHOLD,HOUSEHOLD_1,CA_1,CA,2016-05-22,4.47,0.9908845230918798,Reduce Stock
FOODS_3_782,FOODS,FOODS_3,CA_1,CA,2016-05-22,2.5,7.236248971755807,Increase Stock
HOBBIES_2_068,HOBBIES,HOBBIES_2,CA_1,CA,2016-05-22,1.97,0.5667624269239204,Reduce Stock
HOUSEHOLD_1_086,HOUSEHOLD,HOUSEHOLD_1,CA_1,CA,2016-05-22,5.27,1.6416500378467982,Reduce Stock
FOODS_3_351,FOODS,FOODS_3,CA_1,CA,2016-05-22,0.94,12.202060774225174,Increase Stock
FOODS_3_154,FOODS,FOODS_3,CA_1,CA,2016-05-22,2.98,2.613695679754667,Maintain Stock
FOODS_3_515,FOODS,FOODS_3,CA_1,CA,2016-05-22,2.88,1.7598608255340369,Reduce Stock
FOODS_3_637,FOODS,FOODS_3,CA_1,CA,2016-05-22,2.98,0.6803843966244099,Reduce Stock
FOODS_3_180,FOODS,FOODS_3,CA_1,CA,2016-05-22,2.98,0.5190854836082298,Reduce Stock
FOODS_1_192,FOODS,FOODS_1,CA_1,CA,2016-05-22,2.24,2.773905287122862,Maintain Stock
FOODS_2_370,FOODS,FOODS_2,CA_1,CA,2016-05-22,4.97,0.6144480606328341,Reduce Stock
